ilce adi;Toplam Nufus
Adalar;16690
Arnavutköy;326452
Ataşehir;423127
Avcılar;452132
Bağcılar;740069
Bahçelievler;594350
Bakırköy;226685
Başakşehir;514900
Bayrampaşa;275314
Beşiktaş;175190
Beykoz;247875
Beylikdüzü;412835
Beyoğlu;225920
Büyükçekmece;277181
Çatalca;77468
Çekmeköy;296066
Esenler;445421
Esenyurt;983571
Eyüpsultan;422913
Fatih;368227
Gaziosmanpaşa;495998
Güngören;282692
Kadıköy;483064
Kağıthane;455943
Kartal;483418
Küçükçekmece;808957
Maltepe;528544
Pendik;750435
Sancaktepe;489848
Sarıyer;350454
Silivri;217163
Sultanbeyli;358201
Sultangazi;542531
Şile;43464
Şişli;276528
Tuzla;288878
Ümraniye;732379
Üsküdar;524452
Zeytinburnu;292616
